HomeTeam,AwayTeam
Charlton,Man City
Chelsea,West Ham
Coventry,Middlesbrough
Derby,Southampton
Leeds,Everton
Leicester,Aston Villa
Liverpool,Bradford
Sunderland,Arsenal
Tottenham,Ipswich
Man United,Newcastle
Arsenal,Liverpool
Bradford,Chelsea
Ipswich,Man United
Middlesbrough,Tottenham
Everton,Charlton
Man City,Sunderland
Newcastle,Derby
Southampton,Coventry
West Ham,Leicester
Arsenal,Charlton
Bradford,Leicester
Everton,Derby
Ipswich,Sunderland
Man City,Coventry
Middlesbrough,Leeds
Newcastle,Tottenham
Southampton,Liverpool
West Ham,Man United
Aston Villa,Chelsea
Leeds,Man City
Man United,Bradford
Sunderland,West Ham
Tottenham,Everton
Charlton,Southampton
Chelsea,Arsenal
Coventry,Newcastle
Derby,Middlesbrough
Leicester,Ipswich
Liverpool,Aston Villa
Bradford,Arsenal
Coventry,Leeds
Ipswich,Aston Villa
Leicester,Southampton
Liverpool,Man City
Man United,Sunderland
Middlesbrough,Everton
Newcastle,Chelsea
Derby,Charlton
Tottenham,West Ham
Arsenal,Coventry
Aston Villa,Bradford
Charlton,Tottenham
Everton,Man United
Leeds,Ipswich
Southampton,Newcastle
Sunderland,Derby
Chelsea,Leicester
Man City,Middlesbrough
West Ham,Liverpool
Bradford,Southampton
Coventry,West Ham
Derby,Leeds
Ipswich,Arsenal
Liverpool,Sunderland
Man United,Chelsea
Middlesbrough,Aston Villa
Newcastle,Charlton
Tottenham,Man City
Leicester,Everton
Aston Villa,Derby
Charlton,Coventry
Everton,Ipswich
Leeds,Tottenham
Man City,Newcastle
Southampton,Middlesbrough
West Ham,Bradford
Arsenal,Man United
Chelsea,Liverpool
Sunderland,Leicester
Arsenal,Aston Villa
Coventry,Tottenham
Everton,Southampton
Ipswich,West Ham
Leeds,Charlton
Leicester,Man United
Man City,Bradford
Sunderland,Chelsea
Derby,Liverpool
Middlesbrough,Newcastle
Bradford,Ipswich
Charlton,Middlesbrough
Chelsea,Coventry
Liverpool,Leicester
Man United,Leeds
Newcastle,Everton
Tottenham,Derby
West Ham,Arsenal
Aston Villa,Sunderland
Southampton,Man City
Arsenal,Man City
Aston Villa,Charlton
Chelsea,Tottenham
Ipswich,Middlesbrough
Leicester,Derby
Man United,Southampton
Sunderland,Coventry
West Ham,Newcastle
Bradford,Leeds
Liverpool,Everton
Charlton,Bradford
Coventry,Man United
Leeds,Liverpool
Man City,Leicester
Middlesbrough,Arsenal
Newcastle,Ipswich
Southampton,Chelsea
Tottenham,Sunderland
Everton,Aston Villa
Derby,West Ham
Arsenal,Derby
Aston Villa,Tottenham
Bradford,Everton
Ipswich,Charlton
Leicester,Newcastle
Man United,Middlesbrough
Sunderland,Southampton
West Ham,Man City
Chelsea,Leeds
Liverpool,Coventry
Charlton,Chelsea
Derby,Bradford
Everton,Arsenal
Leeds,West Ham
Man City,Man United
Middlesbrough,Leicester
Newcastle,Sunderland
Southampton,Aston Villa
